Condition,PlsB,FtsZ,PssA,MinD,Psd,FtsA,PlsC,MinE,CdsA,DPOL,TERM,mCherry,mVenus
ePURE5,1.159931993,0.788276495,1.278650756,1.81248851,1.907501046,-0.822732021,2.180290664,2.633455542,-0.277047352,0.905804729,0.837460168,19.26219106,3.089626459
ePURE7,0.23569448,0.308558814,0.612015636,-0.041383283,0.301942646,0.540559721,0.47342495,0.10614156,21.0857428,-4.41E-01,1.42E-01,3.46E+00,-9.95E-01
ePURE9,0.607340918,1.180765274,0.48023199,0.252103059,1.838943145,1.93597089,0.48023199,1.823129641,1.242313715,0.256958148,0.306331712,6.959619429,0.756664022
ePURE10,0.129871701,1.403547445,0.622455684,-0.261274251,0.543219912,1.145642147,0.622455684,2.809071434,1.054833012,0.146471091,0.221084976,5.240707931,1.187212382
ePURE11,-0.421534032,0.227489108,-0.27987336,-0.556829328,0.432502571,0.676320822,-0.27987336,0.606252297,1.639205076,-0.324689938,-0.307699857,2.034968781,0.347947887
ePURE12,-0.456595275,-0.10697709,-0.113913674,-0.522502551,0.120776104,0.214674145,-0.113913674,0.617532321,0.982998265,-0.378402539,-0.288410242,0.849265961,-0.07532684
