Condition,PlsB,FtsZ,PssA,MinD,Psd,FtsA,PlsC,MinE,CdsA,DPOL,TERM,mCherry,mVenus
ePURE6,-0.535275558,0.317176367,0.105306594,-0.527678137,-0.00268459,0.029623173,0.574541011,0.367499655,0.176404828,0.08603955,-0.058194,2.480413931,0.398845618
ePURE8,-0.61949082,0.143634439,-1.68E-01,-0.568927185,-0.113992923,1.309076069,-0.209831445,-0.155844621,2.137198045,-0.281602748,-2.93E-01,1.07E+00,7.13E-01
ePURE13,-0.570318662,0.375193271,-0.111023462,-0.607261359,-0.144351612,1.638019566,-0.143657252,0.039849854,1.905927929,-0.185711848,-0.323219674,3.489986403,0.963752052
ePURE14,-0.71981597,-0.191425535,-0.539047282,-0.819521783,-0.54374625,0.353730061,-0.391822419,-0.445642457,1.554734235,-0.503271842,-0.579878984,1.623045751,-0.025009973
ePURE15,-0.612288673,0.189637914,-0.262455087,-0.642222418,-0.223009396,1.431606855,-0.084538696,-0.103976242,2.619034181,-0.300347821,-0.276475188,1.524822467,0.460359127
ePURE16,-0.664125027,0.437381428,-0.03813063,-0.651918822,-0.329385794,1.206846529,-0.161583712,0.148136134,4.13101888,-0.145863186,-0.236320066,4.110667276,1.300958612
