Destination Plate Type;Destination Plate Name;Sample name;Destination Well;Transfer Volume;Source Well;Source Plate Name;Source Plate Type
Greiner384_black_PS_Fbottom_781906;destination1;water well;L4;575;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;M4;450;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;N4;500;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;O4;250;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;P4;1050;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;A5;1900;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;B5;75;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;A9;500;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;B9;800;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;C9;0;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;D9;375;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;E9;1100;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;F9;300;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;G9;225;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;H9;800;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;I9;1150;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;J9;100;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;K9;375;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;L9;1400;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;M9;1050;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;N9;1675;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;O9;1025;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;P9;850;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;A10;1225;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;B10;1375;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;C10;375;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;D10;425;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;E10;925;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;F10;100;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;G10;700;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;H10;1075;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;I10;600;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;J10;500;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;K10;675;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;L10;250;N16;source1;384PP_Plus_AQ_GP
