Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNA,aaRS-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
35,0.5,1.5,0.5,2.5,0.1,2,4,5,4,1,3,1,7,0.2,0.4,1,0.2,0.05,0.1,0.1,20.1,0.1,1.860722563
36,0.5,1.5,0.5,2.5,0.05,2,4,2.5,2,1,3,4,14,0.2,0.8,2,0.2,0.1,0.2,0.1,13.32,0.1,1.019084562
37,0.5,1.5,1,2.5,0.05,2,4,2.5,4,1,1.5,1,14,0.2,0.4,4,0.2,0.05,0.05,0.05,20.1,0.1,0.506069121
38,0.5,1.5,0.5,2.5,0.2,2,4,5,4,1,1.5,1,7,0.2,0.4,4,0.2,0.1,0.2,0.05,20.1,0.1,1.634425113
39,0.5,3,1,2.5,0.05,1,4,2.5,8,1,6,1,7,0.2,0.4,4,0.2,0.2,0.1,0.1,13.32,0.1,1.744278103
40,0.5,1.5,1,2.5,0.05,2,4,2.5,4,1,1.5,2,7,0.4,0.4,2,0.1,0.05,0.2,0.1,20.1,0.1,1.419941256
42,0.5,3,1,2.5,0.05,2,4,5,2,1,1.5,1,14,0.2,0.8,4,0.1,0.05,0.2,0.2,13.32,0.1,2.034947266
43,0.5,3,0.5,2.5,0.2,1,4,5,4,1,3,2,14,0.2,0.4,4,0.2,0.1,0.05,0.1,13.32,0.1,1.902540372
44,0.5,1.5,0.5,2.5,0.2,2,4,10,2,2,1.5,2,14,0.4,0.4,2,0.1,0.05,0.05,0.1,13.32,0.1,1.687585421
45,0.5,3,1,2.5,0.05,2,4,2.5,4,1,3,1,7,0.2,0.8,1,0.1,0.1,0.1,0.1,13.32,0.1,1.455732083
46,0.5,1.5,1,2.5,0.05,2,4,2.5,8,2,1.5,1,7,0.2,0.4,4,0.05,0.05,0.1,0.1,13.32,0.1,1.752798092
48,0.5,1.5,0.5,2.5,0.05,2,4,2.5,4,2,1.5,1,14,0.4,0.4,4,0.2,0.1,0.05,0.1,13.32,0.1,1.391290796
49,0.5,1.5,0.5,2.5,0.05,2,4,10,2,4,1.5,1,14,0.2,0.8,2,0.05,0.05,0.1,0.1,13.32,0.1,1.804399657
50,0.5,1.5,0.5,2.5,0.05,2,4,2.5,4,2,6,1,14,0.2,0.8,1,0.2,0.05,0.1,0.05,13.32,0.1,1.003489483
51,0.5,3,1,2.5,0.1,1,4,2.5,2,2,6,2,7,0.2,0.4,4,0.2,0.2,0.1,0.1,13.32,0.1,1.295962217
53,0.5,3,1,2.5,0.1,2,4,2.5,4,1,3,1,7,0.2,0.8,2,0.05,0.05,0.1,0.05,13.32,0.1,1.884997679
55,0.5,3,1,2.5,0.2,1,4,5,2,1,1.5,1,14,0.2,0.4,2,0.2,0.1,0.1,0.05,13.32,0.1,1.36744084
56,0.5,1.5,1,2.5,0.1,2,4,2.5,2,1,1.5,4,14,0.2,0.8,4,0.2,0.05,0.05,0.05,13.32,0.1,1.862576227
57,0.5,1.5,1,2.5,0.2,1,4,2.5,8,1,3,2,7,0.2,0.8,4,0.2,0.05,0.05,0.1,13.32,0.1,1.923177991
58,0.5,3,0.5,2.5,0.1,2,4,2.5,2,1,6,4,7,0.2,0.8,2,0.1,0.1,0.1,0.05,13.32,0.1,0.051971639
61,0.5,1.5,0.5,2.5,0.2,1,4,5,2,1,1.5,2,14,0.2,0.4,4,0.1,0.1,0.05,0.05,13.32,0.1,1.97336881
62,0.5,1.5,0.5,2.5,0.1,1,4,10,4,1,3,4,14,0.2,0.4,4,0.1,0.1,0.1,0.05,13.32,0.1,1.058519441
63,0.5,3,0.5,2.5,0.1,1,4,5,2,2,3,1,7,0.2,0.4,2,0.1,0.1,0.05,0.1,20.1,0.1,2.456007253
REF,1,6,2,2.5,0.2,1,4,10,4,2,6,2,3.5,0.2,0.2,2,0.1,0.1,0.1,0.1,6.7,0.1,1
