Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNA,aaRS-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
77,2,6,1,2.5,0.1,1,2,10,8,1,3,2,7,0.4,0.2,1,0.2,0.1,0.05,0.1,13.32,0.1,0.929869315
78,1,3,4,2.5,0.4,0.5,4,5,8,1,3,1,3.5,0.4,0.2,2,0.1,0.05,0.05,0.05,13.32,0.1,0.080416107
79,2,6,4,2.5,0.4,0.5,2,20,8,1,3,2,3.5,0.4,0.2,1,0.05,0.05,0.1,0.1,3.33,0.1,0.011606868
80,1,6,2,2.5,0.2,1,4,5,2,1,3,4,7,0.4,0.4,4,0.1,0.1,0.05,0.05,6.7,0.1,1.073738626
82,1,3,4,2.5,0.4,0.5,4,10,2,1,3,1,7,0.1,0.4,1,0.1,0.1,0.05,0.1,13.32,0.1,0.065643168
83,2,6,4,2.5,0.2,2,2,10,2,1,3,1,7,0.4,0.2,1,0.05,0.2,0.2,0.2,3.33,0.1,0.016252132
84,1,3,4,2.5,0.2,0.5,2,20,2,2,3,2,7,0.4,0.2,4,0.1,0.1,0.1,0.05,6.7,0.1,0.013337592
85,1,6,1,2.5,0.2,0.5,2,20,4,2,3,4,3.5,0.4,0.4,4,0.1,0.05,0.05,0.1,3.33,0.1,0.504379773
86,1,6,4,2.5,0.1,0.5,2,5,8,2,3,2,7,0.4,0.4,2,0.1,0.1,0.05,0.05,6.7,0.1,0.014671586
87,2,3,1,2.5,0.1,0.5,2,5,4,2,6,2,3.5,0.4,0.4,1,0.1,0.05,0.1,0.2,3.33,0.1,0.2483696
88,1,3,2,2.5,0.1,0.5,4,10,2,2,6,1,7,0.4,0.4,4,0.1,0.2,0.05,0.05,13.32,0.1,1.572693263
89,1,3,4,2.5,0.2,1,2,10,2,1,3,2,7,0.4,0.4,2,0.05,0.2,0.05,0.1,3.33,0.1,0.014909262
91,2,3,4,2.5,0.2,1,2,10,4,1,3,4,3.5,0.4,0.4,2,0.1,0.05,0.05,0.1,3.33,0.1,0.012477799
92,2,6,4,2.5,0.2,0.5,4,10,2,1,3,1,3.5,0.4,0.2,1,0.05,0.2,0.2,0.1,6.7,0.1,0.034466711
93,0.5,3,2,2.5,0.1,1,4,10,2,1,3,1,7,0.4,0.4,2,0.2,0.2,0.05,0.05,3.33,0.1,0.233899389
REF,1,6,2,2.5,0.2,1,4,10,4,2,6,2,3.5,0.2,0.2,2,0.1,0.1,0.1,0.1,6.7,0.1,1
TOP1V,2,6,1,2.5,0.4,1,4,5,2,1,6,1,7,0.1,0.4,2,0.1,0.05,0.1,0.2,6.7,0.1,1.192402468
TOP1C,1,6,2,2.5,0.2,1,4,10,2,1,6,1,7,0.4,0.4,1,0.1,0.1,0.05,0.1,13.32,0.1,1.078926653
