Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNA,aaRS-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
50,2,3,1,2.5,0.1,1,2,5,4,2,3,2,7,0.4,0.4,2,0.05,0.05,0.1,0.05,3.33,0.1,0.51370329
51,2,3,1,2.5,0.1,0.5,4,20,4,2,3,2,7,0.4,0.4,1,0.05,0.05,0.2,0.05,3.33,0.1,0.281686922
53,2,6,1,2.5,0.2,0.5,2,20,2,1,3,1,3.5,0.4,0.2,2,0.05,0.1,0.05,0.05,3.33,0.1,0.539041727
55,1,6,1,2.5,0.1,1,4,5,8,1,12,1,7,0.4,0.4,4,0.05,0.1,0.1,0.2,3.33,0.1,0.017840544
56,1,3,4,2.5,0.1,1,2,20,2,2,3,1,7,0.4,0.2,1,0.1,0.05,0.05,0.2,3.33,0.1,0.013390251
58,1,3,4,2.5,0.1,1,2,20,2,1,3,1,7,0.4,0.4,2,0.05,0.2,0.1,0.05,6.7,0.1,0.01479545
59,2,6,1,2.5,0.2,0.5,2,10,8,1,3,2,7,0.4,0.4,2,0.05,0.05,0.05,0.2,6.7,0.1,1.017964329
60,1,6,4,2.5,0.2,0.5,2,10,8,2,3,1,7,0.4,0.4,1,0.1,0.2,0.05,0.1,3.33,0.1,0.014487197
64,2,3,1,2.5,0.2,1,2,20,2,1,3,1,7,0.1,0.2,1,0.1,0.05,0.05,0.2,3.33,0.1,0.54109667
65,2,6,1,2.5,0.2,0.5,2,10,2,2,3,1,7,0.4,0.2,1,0.2,0.1,0.05,0.2,6.7,0.1,0.737557307
66,2,3,2,2.5,0.1,0.5,4,20,2,1,3,4,7,0.4,0.4,1,0.1,0.2,0.1,0.05,3.33,0.1,0.220361704
67,2,6,2,2.5,0.4,0.5,4,5,8,1,3,1,7,0.4,0.4,1,0.05,0.05,0.1,0.2,3.33,0.1,0.290862423
68,1,6,1,2.5,0.4,2,2,10,2,1,3,1,7,0.4,0.2,2,0.05,0.1,0.1,0.05,3.33,0.1,0.452439032
69,2,3,2,2.5,0.2,0.5,4,5,8,2,3,1,7,0.4,0.4,2,0.05,0.05,0.1,0.05,3.33,0.1,0.434218819
70,1,6,2,2.5,0.4,1,4,10,4,1,3,1,3.5,0.4,0.4,1,0.05,0.1,0.2,0.1,3.33,0.1,0.363573157
71,2,3,1,2.5,0.4,0.5,2,5,2,2,3,2,3.5,0.4,0.4,2,0.1,0.1,0.2,0.1,6.7,0.1,0.551607262
72,2,6,4,2.5,0.2,1,2,10,2,2,3,4,7,0.4,0.2,2,0.1,0.05,0.05,0.1,3.33,0.1,0.018074864
73,2,6,1,2.5,0.2,0.5,4,10,8,1,3,4,3.5,0.4,0.4,2,0.1,0.05,0.1,0.05,6.7,0.1,0.66792789
74,2,6,4,2.5,0.4,1,2,5,2,2,3,1,7,0.4,0.4,1,0.05,0.1,0.05,0.05,3.33,0.1,0.014793367
75,0.5,6,4,2.5,0.4,0.5,2,10,2,2,3,2,3.5,0.4,0.2,1,0.05,0.1,0.2,0.2,13.32,0.1,0.012039718
76,0.5,6,2,2.5,0.1,0.5,4,20,2,1,6,2,7,0.4,0.4,1,0.1,0.05,0.1,0.2,3.33,0.1,0.700606973
