Destination Plate Type,Destination Plate Name,Sample name,Destination Well,Transfer Volume,Source Well,Source Plate Name,Source Plate Type
Greiner384_black_PS_Fbottom_781906,destination1,water well,A1,775,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,B1,225,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,C1,1225,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,D1,475,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,E1,250,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,F1,1150,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,G1,1700,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,H1,50,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,I1,525,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,J1,225,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,K1,75,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,L1,850,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,M1,1075,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,N1,325,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,O1,300,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,P1,1750,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,A2,425,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,B2,725,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,C2,1350,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,D2,300,P17,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,water well,E2,1825,P17,source1,384PP_Plus_AQ_GP
