Day,Cond.,k_prime,Yield,K,n,Plateau_Time,Translation_Rate,Rel. Yield
3,1A,690.0074451421555,4196.715684463303,2.2215659957725804,4.850553133153989,4.579317184943552,2290.7706152963897,0.0400751447203074
3,1B,766.0780858794167,2052.071007710746,2.627560703644113,3.9376020604975057,5.183675270500364,768.7966082993534,0.0231055660562567
3,1C,776.3108389662142,4189.365468777729,2.380656913349112,4.617861767792031,4.793915478207451,2031.5727269538556,0.0407215156763902
3,2A,37293.711324417214,908123.9748312972,3.4089729772987494,3.744526951748112,6.184021247462402,249378.23810347047,7.742866055750352
3,2B,50139.91435294912,1186327.782692957,3.390236958206298,3.920857092655603,6.120869089933533,343001.22368489567,10.130408886504794
3,2C,50055.34599050704,1196995.762587071,3.205930889558277,3.9980275415952,5.882515267123306,373185.0584788523,10.220115642352567
3,3A,4934.975114236875,466766.104473285,3.0079229427816805,2.313089090972937,6.227474313133374,89735.64190565885,3.819316918952352
3,3B,6688.881330229489,672966.6318522036,2.9519182735011755,2.354342804649055,6.119336348167213,134183.43604673597,5.511079646637436
3,3C,2075.9629221072,658547.4592391958,2.7632282161016115,2.262909079128696,5.897207015351476,134827.1756804027,5.354872461112853
3,4A,12271.395953240037,689878.1034879207,1.8726278335505704,3.3086644040543045,4.290174386332271,304728.87928552384,5.755966210509234
3,4B,14484.47819295004,961303.3840871806,1.8903370227298528,3.260387390685791,4.3216893913944086,414505.6403190033,7.998634712285599
3,4C,6236.977071150489,898417.3033434257,1.7953946835699564,3.0927610146681164,4.212018060096591,386905.1796954845,7.414583924718786
3,5A,4095.386896287365,184577.7298830776,3.9924371454594567,2.5750399752083384,7.416304178620333,29762.21138025165,1.5227752711318103
3,5B,2620.995116126824,171294.21571395645,3.4559542799203866,2.520769738646552,6.726966683225763,31235.45918168824,1.408955584122565
3,5C,4069.057759921219,252552.1141546121,3.778178617794689,2.4967051143342056,7.1842027791332725,41723.02442742801,2.071402982844948
3,6A,723.6643197542353,875.8793575526529,2.9052126716824485,5.0,5.38072778226376,376.8568158925088,0.0131173541454772
3,6B,746.954633066337,1052.2360031231792,2.4771177676752543,5.0,4.874952941356857,530.977986217572,0.0147548907747942
3,6C,719.0593555388023,718.7816892984675,2.9998142466684445,5.0,5.491245271979007,299.51091559116423,0.0117912492627108
3,7A,0.0,33737.62172355318,6.894016513439376,5.0,9.836570635613288,6117.19265137097,0.2752254834801266
3,7B,705.239209606086,49034.51546959437,6.292181609528088,5.0,9.18146569523622,9741.159448446042,0.4065721882821254
3,7C,526.2783421374513,41026.49336939113,5.663010506977223,5.0,8.492052989656775,9055.804619919838,0.3401095796858417
3,8A,11058.435670494977,412943.9786337111,2.760497659186278,2.893903279226417,5.601129639944371,108225.04503202156,3.465748842734872
3,8B,12372.99776917361,491851.1773900724,2.566410770980292,2.9175214552974693,5.329082471456176,139785.33552334804,4.124567737823767
3,8C,9526.438456715538,481190.9643494111,2.4214545861136814,2.783772118351966,5.169347096165127,138297.65772199145,4.012822387154974
3,9A,3238.8751564788213,158238.22352508095,2.530174316560559,1.8801863991144976,5.806978286970887,29396.92274802758,1.297381622985174
3,9B,1968.2830623400328,126359.51536143605,2.229749766684134,1.7643031277419268,5.380545032652711,24995.68466192341,1.0306320919454872
3,9C,4719.648827319222,178161.1203792658,2.513294094088026,1.947857700723308,5.723321331996422,34519.6878388171,1.473715719681842
3,10A,15695.544988603451,433697.47782226594,3.3716853670928475,4.354702739377065,6.015573654128384,140035.57487645745,3.6838295862084434
3,10B,18451.39015434979,514020.4731277878,3.058974095293061,4.24791964191518,5.661164545589728,178451.7943046584,4.365247393853284
3,10C,18506.072459264095,455066.90533224016,2.9777845425351037,4.613580116784824,5.511436933710397,176262.55327226012,3.883156633470792
3,11A,6689.161297722986,441065.277685683,3.007695336498072,2.6793078440413027,6.024321947029085,98227.1744662014,3.648561288917149
3,11B,5036.279602670144,517953.6418605163,2.6424359383402845,2.5828285309567334,5.555959207497627,126567.4433672885,4.265370192248994
3,11C,9175.79447800303,542628.5156490523,2.588118798889517,2.72915760644932,5.421812831793201,143049.72607858383,4.507850784966286
3,12A,33908.82083012565,1188901.081730856,3.900284415220025,3.1691110118252017,6.973181427039584,241505.43325643608,9.970758825930346
3,12B,28364.82664064915,1028819.642164328,3.108127141316502,3.1669438416430737,5.969288249432804,262072.1323302813,8.645565252633107
3,12C,41135.12980889745,1302116.962155646,3.572426937503114,3.2081208252412696,6.546787588968302,292332.6786153331,10.971320422191312
3,13A,0.0,434879.5702974801,2.409767835625302,1.881034970858112,5.602014955923789,84865.40360319012,3.4990103695406325
3,13B,0.0,223613.9215885276,1.9918657137455928,1.7952464453030847,4.927661232964558,50385.185994441024,1.8042789952979164
3,13C,1993.2118295903228,345457.56194523536,2.186399885841116,1.75675708569005,5.308267617066762,69393.18645260435,2.7909315175913
3,14A,1013.4614045996266,218.883949747105,3.969821745363301,2.284664149787579,7.626718682859895,31.49236571737757,0.0100612536857567
3,14B,922.7373394993348,856.047755493767,3.057585257054304,4.480621603825931,5.624186481217961,313.6156267697451,0.0145861422071515
3,14C,925.9543216585836,225.21189746219517,3.886127399629125,3.206683327339256,6.940134985073254,46.459055664218646,0.0094305791322888
3,15A,925.9543216585836,225.21189746219517,3.886127399629125,3.206683327339256,6.940134985073254,46.459055664218646,0.0094305791322888
3,15B,934.2561480219651,12422.739188379555,0.6869691422607046,2.1146667426005195,2.361602002685553,9560.092221615749,0.1094561874603245
3,15C,877.2482209925745,19488.17608675583,0.8823363758576447,1.9157940978343573,2.755830361031305,10578.542873819792,0.1666001614384091
3,16A,7416.324785528797,400511.6951188605,2.437677340053335,2.2471031503818097,5.410993880378199,92300.06337166212,3.3155679976744907
3,16B,6140.367305193448,332955.98915012693,2.098533347728341,2.435212335018661,4.810111419095245,96593.4771389788,2.7692395729463426
3,16C,6366.467288559053,298069.66896620893,1.9836807308361253,2.282285178780332,4.68371599765422,85734.56115576612,2.4837352036516447
3,17A,3181.6460434365813,308676.8821292836,2.0718614389083263,2.276891061800993,4.82592622260797,84805.82010772466,2.542574987641865
