Day,Cond.,k_prime,Yield,K,n,Plateau_Time,Translation_Rate,Rel. Yield
0,1A,1657.3052631578948,0.0,15.666666666666666,1.6407608076503761,26.36549944030797,0.0,0.005258440314553217
0,1B,1724.6,0.0,5.737790541470991,0.8296299684398918,22.16591385666225,0.0,0.005471958828634025
0,1C,1788.0631578947368,0.0,9.049217944756416,0.5579756612772433,112.6734899007392,0.0,0.005673320180330128
0,2A,581.8934152166303,67707.25105655189,5.663674719178568,5.0,8.492783562193498,14943.312957945576,0.21535532398715954
0,2B,2621.1744005660507,116520.05232690537,5.103737055431181,5.0,7.8745528458945095,28537.925019792518,0.3766699833217478
0,2C,498.2523867957437,101993.15716109012,5.230826269334746,5.0,8.015305961854578,24373.09898796867,0.32385633879777215
0,3A,1126.838226556891,17850.912674747677,4.297968126684916,1.8474047817842496,8.701643426407074,1918.2239410869142,0.05545752972114872
0,3B,1238.657389839668,16410.993794691665,4.345196434103238,1.8540823818808891,8.762330724930447,1750.6305483157062,0.05158051842562329
0,3C,1204.6972803820463,11775.693918358904,4.089240028605745,1.901166456291865,8.284410796024392,1368.6867315524921,0.03848825899422511
0,4A,1125.6710473530482,36738.49761672767,1.7869495536703703,2.221480891695836,4.384227254208369,11418.043430148844,0.11920855718914586
0,4B,1417.1503435823931,25079.06398910029,1.796191185752602,2.2451306565958724,4.392287238078509,7836.829376415542,0.08345908547984164
0,4C,1107.0174745628906,22784.565860425355,1.8104764233906336,2.1660151940632937,4.44102973638026,6814.741579372787,0.07513675767334058
0,5A,1654.8297215563452,2125.2377900375254,1.499194981041045,2.742849759073943,3.8173640548834733,972.056342586514,0.01198293604997969
0,5C,1587.3941690793733,1873.5633883658518,1.5569354494050427,2.32135338634489,3.9771671200408676,698.3595109509602,0.010953397080217218
0,6A,2380.025030255376,26158.12407502606,0.8776473092670056,3.370648118100094,2.801687972002615,25115.393950262638,0.09054327419085402
0,6B,2300.6513591970815,28183.24656498035,0.8948155422264016,3.20075246061719,2.8265626300671807,25202.84671369118,0.09671254897383089
0,6C,2643.925435470641,40033.765523234,0.9448188482496512,3.3959544796425587,2.9116674504850897,35973.25710040853,0.13540227585240958
0,7A,0.0,85826.87361833939,1.4716410327136122,2.2336814158847544,3.8493213410015805,32567.366688477246,0.2709432513120215
0,7B,188.22267331421824,110253.61804163897,1.5126054978845638,2.52876519985263,3.868210672052209,46080.34164417966,0.3494745431223803
0,7C,689.2870566512856,105367.19807697034,1.5256767660805803,2.5980610294177553,3.8788026987890536,44857.2097951611,0.33571958402075724
