Day,Cond.,k_prime,Yield,K,n,Plateau_Time,Translation_Rate,Rel. Yield
6,1A,9046.861305543967,779669.0515472834,2.156561154038821,2.370180619247996,4.922528306866373,214224.90986911888,1.3547212153913546
6,1B,20494.537132112935,1000933.4752652048,1.6059003961476042,2.3707174493182235,4.04823310815846,369408.0998283543,1.7607140340938903
6,2A,30988.176059006233,1102204.602537866,2.5553899873643173,3.9286331391218443,5.094869665702359,423629.81277166,1.9591412433517255
6,2B,67851.58855102216,1815160.0921399978,2.1099203404230753,3.3821844790448985,4.603967929746192,727421.5728668922,3.254664044844367
6,3A,826.3684750174468,351.96779272766327,3.4507984395910705,3.502236524455361,6.299343939443109,89.30356848579308,0.0020361331302792066
6,3B,846.1642983115551,368.34571196329495,3.4164146968377453,2.411112337414857,6.745511606702863,64.98939453768682,0.002088386235726114
6,4A,6936.670682383118,617596.7737003919,2.2551630699196834,2.0054666429542003,5.255276067147111,137303.78802455968,1.0627161174472177
6,4B,26285.341051910604,874055.5321724107,1.9291956153579157,2.0561553411767544,4.682290599473965,232894.20946407848,1.541013475927053
6,5A,47916.83003646761,1340791.2552005122,2.6940848024723603,3.1723836812523465,5.4274924090970575,394707.7217150437,2.395857492158495
6,5B,26723.042485237413,1429098.9066618613,1.8437711636162386,2.3748694286521665,4.431464372134167,460187.7080687845,2.506234017438864
6,6A,8261.274527166415,219668.92601312473,1.598111049512365,2.2412884243060374,4.063433354778042,77019.27553832774,0.39246031959586125
6,6B,6391.749274519062,168551.27430116417,1.3135646131144176,2.4169349714115214,3.5524865090291247,77532.81895448246,0.3020427988179801
6,7A,3041.5975047771485,2178.7988688180612,3.075935573326403,5.0,5.579884363585581,885.4212063607395,0.009029469390392423
6,7B,994.6550851654545,16758.59887690398,2.7162229329145107,5.0,5.158658288509309,7712.271456913324,0.030706468559998965
6,8A,772.9499431752176,1291.9177798717087,2.735729504373796,5.0,5.181662898737587,590.2985738384552,0.003571546182768583
6,8B,772.9499431752176,1291.9177798717087,2.735729504373796,5.0,5.181662898737587,590.2985738384552,0.003571546182768583
6,9A,0.0,665672.6700586902,2.4351813423808073,2.233931413958207,5.414091321211729,152664.9230569911,1.1372834287539455
6,9B,494.9052612172862,734068.7936784689,1.8701835074933313,1.9329511490025229,4.635135349545455,189676.4558801928,1.253699802081567
6,10A,47867.11399645438,1551760.5462617096,2.6359190839580733,3.0205721203926963,5.392590971124062,444551.2641197235,2.757952013890021
6,10B,24616.402505203096,1402940.9983167634,1.827376949643364,2.289701012097173,4.429814752836252,439470.82516081806,2.4553836775014455
