Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNA,aaRS-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
35,1,3,2,2.5,0.1,0.5,4,10,2,2,3,1,7,0.1,0.4,1,0.1,0.2,0.05,0.2,13.32,0.1,0.340412472
36,1,3,1,1.25,0.1,0.5,4,5,2,2,3,2,7,0.2,0.4,4,0.1,0.2,0.1,0.1,13.32,0.1,2.334364654
37,0.5,6,2,2.5,0.1,0.5,4,10,2,2,6,1,1.75,0.1,0.4,4,0.1,0.2,0.05,0.2,13.32,0.1,1.04963362
38,0.5,6,1,2.5,0.1,2,4,5,4,2,6,1,3.5,0.1,0.4,2,0.2,0.2,0.1,0.1,13.32,0.1,2.249685826
39,1,3,1,2.5,0.4,2,4,10,2,2,3,1,7,0.2,0.4,2,0.2,0.1,0.05,0.1,13.32,0.1,1.892981718
40,1,6,1,2.5,0.2,1,4,5,2,2,3,1,3.5,0.4,0.2,2,0.2,0.2,0.2,0.2,13.32,0.1,1.165137717
41,0.5,3,1,2.5,0.1,1,4,10,4,1,3,2,7,0.2,0.4,4,0.2,0.2,0.05,0.05,13.32,0.1,2.814226558
42,2,3,1,2.5,0.1,0.5,4,5,4,2,3,2,3.5,0.4,0.2,4,0.1,0.2,0.05,0.2,13.32,0.1,1.298885021
43,0.5,3,1,1.25,0.4,0.5,4,5,2,2,3,2,7,0.1,0.4,4,0.05,0.1,0.05,0.1,13.32,0.1,1.75304444
44,1,6,1,1.25,0.2,0.5,2,10,2,2,6,1,7,0.2,0.4,2,0.1,0.2,0.05,0.2,13.32,0.1,1.402298086
45,1,3,1,1.25,0.1,2,4,5,4,1,6,1,7,0.4,0.4,4,0.05,0.05,0.1,0.1,13.32,0.1,2.415392879
46,2,3,1,2.5,0.2,0.5,4,5,4,1,12,1,7,0.4,0.2,2,0.1,0.2,0.05,0.1,13.32,0.1,0.833744415
47,1,3,2,2.5,0.4,1,4,10,2,1,6,4,7,0.1,0.2,1,0.1,0.1,0.1,0.1,13.32,0.1,0.930617627
48,0.5,3,1,1.25,0.1,0.5,4,5,4,2,3,4,7,0.2,0.4,4,0.1,0.1,0.1,0.1,13.32,0.1,2.330152972
49,0.5,3,2,2.5,0.2,1,4,20,2,2,3,4,1.75,0.1,0.2,4,0.1,0.05,0.1,0.1,13.32,0.1,0.615440847
50,1,6,1,1.25,0.1,1,2,10,4,2,3,1,7,0.1,0.4,4,0.05,0.1,0.05,0.2,13.32,0.1,0.657133416
51,1,3,1,2.5,0.2,1,4,5,2,1,6,2,7,0.1,0.2,1,0.1,0.1,0.05,0.05,13.32,0.1,1.939944409
52,1,6,2,2.5,0.2,2,4,5,2,2,3,1,3.5,0.2,0.2,1,0.2,0.2,0.1,0.2,13.32,0.1,0.380850255
53,1,6,1,2.5,0.2,0.5,4,5,4,1,3,2,3.5,0.1,0.2,1,0.1,0.2,0.1,0.2,13.32,0.1,1.173907477
54,0.5,3,2,2.5,0.1,2,4,5,2,2,6,2,7,0.2,0.4,2,0.2,0.1,0.1,0.05,13.32,0.1,2.297556651
55,0.5,6,2,2.5,0.1,1,4,5,2,4,6,1,7,0.2,0.4,4,0.1,0.1,0.1,0.1,13.32,0.1,1.361263636
56,1,6,1,2.5,0.2,0.5,4,10,4,2,12,1,1.75,0.1,0.2,4,0.1,0.05,0.05,0.05,13.32,0.1,0.221364917
57,1,3,2,2.5,0.1,1,4,5,2,2,3,4,7,0.4,0.2,2,0.05,0.2,0.1,0.2,13.32,0.1,0.70463633
58,2,3,1,2.5,0.2,0.5,4,5,4,2,6,4,7,0.1,0.2,2,0.05,0.05,0.1,0.2,13.32,0.1,1.228925718
59,1,3,1,2.5,0.4,2,4,5,2,1,3,2,7,0.1,0.2,2,0.05,0.05,0.05,0.1,13.32,0.1,1.427902364
60,2,6,2,2.5,0.4,1,4,5,2,1,3,1,3.5,0.2,0.4,2,0.1,0.1,0.05,0.2,13.32,0.1,0.450615822
61,1,3,2,2.5,0.4,1,4,5,4,1,3,2,7,0.4,0.4,2,0.1,0.05,0.05,0.2,13.32,0.1,0.257412443
62,0.5,6,1,2.5,0.4,2,4,5,4,2,3,1,3.5,0.1,0.2,1,0.05,0.05,0.2,0.05,13.32,0.1,0.797626036
63,1,6,1,2.5,0.4,1,4,10,4,2,6,1,1.75,0.2,0.4,1,0.05,0.05,0.1,0.2,13.32,0.1,1.101404635
64,2,3,2,2.5,0.1,0.5,4,10,2,2,12,1,7,0.2,0.1,4,0.05,0.1,0.1,0.05,13.32,0.1,0.475309443
REF,1,6,2,2.5,0.2,1,4,10,4,2,6,2,3.5,0.2,0.2,2,0.1,0.1,0.1,0.1,6.7,0.1,1
TOP1V,2,6,1,2.5,0.4,1,4,5,2,1,6,1,7,0.1,0.4,2,0.1,0.05,0.1,0.2,6.7,0.1,1.485409951
TOP1C,1,6,2,2.5,0.2,1,4,10,2,1,6,1,7,0.4,0.4,1,0.1,0.1,0.05,0.1,13.32,0.1,1.132557119
TOP2,1,3,2,2.5,0.1,0.5,4,10,2,2,6,1,7,0.4,0.4,4,0.1,0.2,0.05,0.05,13.32,0.1,1.127693815
