Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNAs,aaRS-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA
ePURE1,1,6,2,2.5,0.1,2,2,10,8,1,6,4,1.75,0.4,0.1,2,0.05,0.2,0.1,0.05,3.33,0.1
ePURE2,2,6,2,2.5,0.2,0.5,2,20,8,1,3,4,1.75,0.1,0.2,2,0.1,0.2,0.05,0.05,3.33,0.1
badPURE,1,6,1,1.25,0.2,1,2,5,8,1,3,2,1.75,0.1,0.2,1.5,0.2,0.2,0.2,0.2,13.32,0.1
ePURE3,2,3,1,5,0.1,2,2,10,4,1,3,2,1.75,0.1,0.2,4,0.1,0.2,0.05,0.1,3.33,0.1
ePURE4,2,6,2,5,0.1,1,4,20,8,1,3,1,1.75,0.1,0.4,1.5,0.1,0.1,0.05,0.1,6.7,2
REF,1,6,2,2.5,0.2,1,4,10,4,2,6,2,3.5,0.2,0.2,2,0.1,0.1,0.1,0.1,6.7,
