Batch;Cond.;k_prime;Yield;K;n;Plateau_Time;Translation_Rate;Rel. Yield
1;Top Round 2 - 0.1 nM - Replicate 2A;39354.1976;2379558.406;2.319298697;3.116449688;3.807722339;799355.2169;3.117399916
1;Top Round 2 - 0.1 nM - Replicate 2B;-25189.37843;4014250.323;4.965267867;1.789982163;10.51310848;361784.9363;4.514986538
1;Top Round 2 - 0.1 nM - Replicate 2C;-21722.8927;2582638.389;6.210182318;1.734961081;13.36905451;180380.2555;2.706429692
1;Bad Round 2 - 0.1 nM - Replicate 1A;23627.80497;768508.1967;1.158879922;5.130847648;1.610610319;850627.0578;1.02396948
1;Bad Round 2 - 0.1 nM - Replicate 1B;15194.40246;872261.1816;2.515848207;3.335953906;4.02417133;289149.3103;1.14415999
1;Bad Round 2 - 0.1 nM - Replicate 1C;27062.20607;1045601.147;3.156918093;3.33566938;5.049742431;276201.3163;1.378880405
1;REF - 0.1 nM - Replicate 2A;21694.64743;467882.2583;2.274237967;3.402087329;3.611204216;174979.0837;0.631836328
1;REF - 0.1 nM - Replicate 2B;11368.86771;456891.7326;2.593734076;2.781891694;4.458460931;122509.0236;0.600718061
1;REF - 0.1 nM - Replicate 2C;34971.37067;1298822.234;2.415893285;2.675195292;4.222036779;359556.768;1.711163766
1;Top Round 1 - 0.1 nM - Replicate 3A;79221.70595;1717178.529;2.270863584;3.653271626;3.514058077;690631.4895;2.320380857
1;Top Round 1 - 0.1 nM - Replicate 3B;24280.89688;1130446.06;2.084408566;2.798530807;3.574053462;379434.7441;1.487821738
1;Top Round 1 - 0.1 nM - Replicate 3C;18000.93622;449181.0174;1.6160644;3.180900122;2.632169488;221030.7883;0.603517258
1;Top Round 2 - 0.1 nM - Replicate 3A;60643.65213;1747628.689;2.867528318;2.994170601;4.782935754;456202.857;2.324425481
1;Top Round 2 - 0.1 nM - Replicate 3B;29076.30542;1807206.696;3.277653753;2.471172405;5.930365273;340633.8538;2.32812902
1;Top Round 2 - 0.1 nM - Replicate 3C;5011.300834;1593725.72;4.320622521;1.993052517;8.656306086;183791.7477;1.925353662
1;Bad Round 2 - 0.1 nM - Replicate 2A;-9354.79831;303774.3409;1.680064212;2.065880928;3.306551188;93383.57617;0.376888157
1;Bad Round 2 - 0.1 nM - Replicate 2B;16377.34801;519057.2574;2.044091854;3.640009248;3.167216393;231077.338;0.691765623
1;Bad Round 2 - 0.1 nM - Replicate 2C;25659.44141;647811.9972;2.241320216;3.677809153;3.460154648;265750.6138;0.869969144
1;COM - 0.1 nM - Replicate 1A;32021.09615;1691855.676;3.001906749;2.543887939;5.362000291;358429.7921;2.590117132
1;COM - 0.1 nM - Replicate 2A;19726.9894;1317698.998;2.828286557;2.72047462;4.90754621;316867.3512;1.710269187
