Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNA,aaRS-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
34,0.5,3,1,5,0.1,2,2,5,8,1,6,1,1.75,0.1,0.4,2,0.2,0.05,0.05,0.05,13.32,0.1,1.242494395
35,1,3,1,5,0.1,1,4,5,8,1,6,2,3.5,0.2,0.4,4,0.05,0.1,0.1,0.1,13.32,0.1,0.945769727
36,1,3,1,1.25,0.2,2,6,5,2,1,3,4,1.75,0.1,0.4,4,0.2,0.2,0.1,0.05,13.32,0.1,0.695476714
37,0.5,3,1,2.5,0.1,1,4,10,2,2,3,2,7,0.2,0.4,1,0.1,0.1,0.1,0.1,13.32,0.1,2.173207767
38,0.5,3,1,1.25,0.1,1,4,5,8,4,3,4,3.5,0.1,0.4,2,0.1,0.2,0.2,0.05,13.32,0.1,1.230387388
39,1,3,1,2.5,0.1,1,2,5,2,2,3,4,3.5,0.2,0.4,4,0.1,0.1,0.1,0.1,13.32,0.1,1.246346453
40,0.5,3,1,1.25,0.1,0.5,4,5,4,2,3,4,7,0.4,0.4,1,0.05,0.2,0.05,0.05,13.32,0.1,1.272403037
41,1,3,1,5,0.1,2,6,5,4,1,6,4,3.5,0.1,0.4,1,0.05,0.05,0.1,0.1,13.32,0.1,0.088774567
42,1,3,1,2.5,0.2,1,4,5,2,1,6,2,1.75,0.2,0.4,1,0.2,0.1,0.05,0.05,13.32,0.1,0.927042428
43,1,3,1,2.5,0.1,2,6,10,4,1,6,4,1.75,0.1,0.4,2,0.05,0.2,0.05,0.05,13.32,0.1,0.14084408
44,1,3,1,1.25,0.1,0.5,6,5,8,1,6,2,7,0.1,0.4,2,0.05,0.05,0.2,0.1,13.32,0.1,0.735068221
45,0.5,3,1,1.25,0.2,2,4,5,2,2,3,1,1.75,0.1,0.4,4,0.05,0.2,0.1,0.05,13.32,0.1,0.890827419
46,1,3,1,1.25,0.1,0.5,6,10,4,2,3,2,1.75,0.4,0.4,4,0.2,0.1,0.05,0.1,13.32,0.1,0.796823441
47,1,3,1,2.5,0.1,0.5,2,10,8,2,6,2,7,0.2,0.4,1,0.2,0.05,0.05,0.1,13.32,0.1,1.530273526
48,1,3,1,1.25,0.1,1,2,5,4,4,3,1,7,0.2,0.4,4,0.05,0.05,0.1,0.05,13.32,0.1,0.52836161
49,0.5,3,1,5,0.2,2,4,5,4,4,6,2,7,0.2,0.1,1,0.2,0.1,0.05,0.05,13.32,0.1,0.277345111
50,1,3,1,2.5,0.1,1,6,10,2,1,3,4,3.5,0.2,0.4,2,0.05,0.1,0.1,0.1,13.32,0.1,0.95382057
51,0.5,3,1,1.25,0.1,0.5,2,5,4,4,6,4,3.5,0.4,0.4,2,0.1,0.2,0.05,0.05,13.32,0.1,0.98518207
52,1,3,1,1.25,0.2,2,4,5,4,4,6,1,1.75,0.2,0.4,1,0.05,0.1,0.1,0.05,13.32,0.1,1.342397285
53,1,3,1,1.25,0.1,1,4,5,2,4,6,2,1.75,0.1,0.4,4,0.05,0.05,0.05,0.1,13.32,0.1,0.652903413
54,0.5,3,1,1.25,0.1,2,6,5,8,1,3,4,1.75,0.2,0.2,4,0.1,0.1,0.05,0.05,13.32,0.1,0.401307184
55,0.5,3,1,1.25,0.4,0.5,6,5,8,2,6,1,1.75,0.2,0.4,4,0.1,0.2,0.1,0.1,13.32,0.1,0.729636774
56,0.5,3,1,1.25,0.1,2,4,5,4,4,6,2,1.75,0.4,0.2,1,0.2,0.2,0.2,0.1,13.32,0.1,0.71014613
57,1,3,1,5,0.1,1,4,10,2,1,6,2,7,0.2,0.1,2,0.2,0.1,0.05,0.1,13.32,0.1,1.278309422
58,0.5,3,1,5,0.4,1,4,10,2,1,3,2,1.75,0.2,0.4,2,0.2,0.05,0.1,0.1,13.32,0.1,0.780685278
59,1,3,1,5,0.1,0.5,2,20,2,1,6,1,7,0.1,0.4,4,0.1,0.1,0.05,0.1,13.32,0.1,1.386805372
60,1,3,1,5,0.1,2,6,5,4,4,6,1,7,0.1,0.1,2,0.2,0.05,0.1,0.1,13.32,0.1,0.539772946
61,0.5,3,1,2.5,0.4,1,4,5,4,4,3,1,7,0.4,0.4,2,0.2,0.1,0.05,0.05,13.32,0.1,1.608254608
62,0.5,3,1,2.5,0.2,2,4,5,4,1,3,1,1.75,0.1,0.4,2,0.1,0.2,0.2,0.05,13.32,0.1,1.166886216
63,0.5,3,1,2.5,0.2,2,2,5,8,1,6,2,7,0.4,0.1,2,0.2,0.1,0.1,0.05,13.32,0.1,0.928872673
REF,1,6,2,2.5,0.2,1,4,10,4,2,6,2,3.5,0.2,0.2,2,0.1,0.1,0.1,0.1,6.7,0.1,1
TOP2,1,3,2,2.5,0.1,0.5,4,10,2,2,6,1,7,0.4,0.4,4,0.1,0.2,0.05,0.05,13.32,0.1,0.814462054
TOP3,0.5,3,1,2.5,0.1,1,4,10,4,1,3,2,7,0.2,0.4,4,0.2,0.2,0.05,0.05,13.32,0.1,2.019911513
