hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNAs,aaRSs-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,Condition,yield,rate,Day
0.5,6.0,2.0,2.5,0.1,1.0,2.0,20.0,8.0,4.0,3.0,2.0,1.75,0.1,0.4,4.0,0.05,0.1,0.1,0.05,6.7,2.0,20,2.614630281,3.748025591,8.1
0.5,6.0,2.0,5.0,0.1,0.5,2.0,20.0,4.0,2.0,3.0,2.0,1.75,0.1,0.2,2.0,0.05,0.1,0.05,0.1,3.33,2.0,4,3.369864524,1.677867084,8.1
0.5,6.0,2.0,5.0,0.1,0.5,4.0,20.0,4.0,1.0,6.0,1.0,3.5,0.1,0.4,2.0,0.1,0.1,0.05,0.1,3.33,2.0,42,1.8154588724999998,1.5763051584999999,8.1
0.5,6.0,2.0,5.0,0.1,1.0,2.0,5.0,8.0,1.0,6.0,4.0,1.75,0.4,0.2,4.0,0.1,0.2,0.1,0.05,6.7,2.0,40,2.245978399,2.1368609255,8.1
0.5,6.0,2.0,5.0,0.1,1.0,2.0,10.0,4.0,4.0,6.0,1.0,1.75,0.1,0.2,1.5,0.2,0.2,0.05,0.05,13.32,2.0,48,1.3264,2.429433663,7.0
0.5,6.0,2.0,5.0,0.1,2.0,2.0,10.0,4.0,4.0,3.0,1.0,1.75,0.1,0.4,1.5,0.2,0.05,0.05,0.2,3.33,2.0,49,3.0375,2.269314029,7.0
0.5,6.0,2.0,5.0,0.2,0.5,2.0,10.0,8.0,2.0,6.0,1.0,1.75,0.4,0.4,1.5,0.05,0.2,0.05,0.2,6.7,2.0,5,2.520860703,2.1471697055,6.0
0.5,6.0,2.0,5.0,0.2,0.5,2.0,20.0,2.0,2.0,3.0,1.0,1.75,0.1,0.4,2.0,0.2,0.1,0.05,0.2,6.7,2.0,1,1.872539766,1.912779771,8.1
0.5,6.0,2.0,5.0,0.4,1.0,2.0,5.0,2.0,1.0,3.0,4.0,1.75,0.1,0.4,2.0,0.2,0.1,0.05,0.05,3.33,2.0,6,3.3522,2.566681619,7.0
0.5,6.0,4.0,1.25,0.2,2.0,2.0,10.0,8.0,1.0,12.0,2.0,1.75,0.1,0.1,4.0,0.2,0.1,0.05,0.05,6.7,2.0,9,0.6209,0.008156998,7.0
0.5,6.0,4.0,1.25,0.4,2.0,2.0,10.0,2.0,1.0,12.0,2.0,1.75,0.1,0.2,2.0,0.1,0.1,0.05,0.1,13.32,2.0,20,0.0686,0.109365279,7.0
0.5,6.0,4.0,2.5,0.2,0.5,2.0,5.0,8.0,1.0,3.0,4.0,7.0,0.4,0.1,4.0,0.05,0.2,0.1,0.1,3.33,2.0,3,0.002136277,0.000381034,6.0
0.5,6.0,4.0,5.0,0.2,2.0,2.0,10.0,2.0,4.0,3.0,4.0,1.75,0.1,0.2,4.0,0.2,0.05,0.05,0.2,3.33,2.0,14,0.2679,0.263484041,7.0
0.5,6.0,4.0,5.0,0.4,1.0,2.0,10.0,2.0,4.0,3.0,2.0,1.75,0.1,0.4,4.0,0.2,0.1,0.05,0.1,3.33,2.0,13,0.0272,0.028153904,7.0
0.5,12.0,2.0,1.25,0.4,1.0,2.0,10.0,2.0,1.0,3.0,1.0,1.75,0.1,0.4,2.0,0.2,0.05,0.05,0.05,3.33,2.0,34,0.6656,0.322600417,7.0
0.5,12.0,2.0,2.5,0.2,1.0,2.0,5.0,2.0,4.0,12.0,4.0,1.75,0.1,0.2,4.0,0.1,0.1,0.05,0.05,3.33,2.0,36,0.175,0.097669786,7.0
0.5,12.0,2.0,5.0,0.2,0.5,2.0,20.0,8.0,2.0,3.0,2.0,1.75,0.1,0.1,1.5,0.05,0.1,0.05,0.2,6.7,2.0,50,0.4051,0.243493636,7.0
1.0,3.0,1.0,1.25,0.4,1.0,2.0,20.0,2.0,1.0,6.0,4.0,1.75,0.1,0.4,2.0,0.1,0.05,0.05,0.1,3.33,2.0,47,0.242912419,0.127859294,8.1
1.0,3.0,1.0,2.5,0.1,0.5,2.0,20.0,8.0,1.0,3.0,2.0,1.75,0.4,0.2,2.0,0.1,0.1,0.05,0.1,6.7,2.0,4,1.291195338,0.914221539,6.0
1.0,3.0,1.0,5.0,0.1,1.0,2.0,10.0,2.0,1.0,3.0,4.0,1.75,0.1,0.4,2.0,0.2,0.1,0.05,0.1,6.7,2.0,6,1.279023735,0.697786666,8.1
1.0,3.0,1.0,5.0,0.1,2.0,2.0,5.0,2.0,2.0,3.0,4.0,7.0,0.2,0.1,4.0,0.1,0.05,0.05,0.1,3.33,2.0,43,0.438851012,0.726022181,6.0
1.0,3.0,1.0,5.0,0.1,2.0,4.0,5.0,4.0,1.0,3.0,2.0,7.0,0.1,0.2,4.0,0.2,0.2,0.2,0.05,3.33,2.0,33,0.565450949,0.834441996,6.0
1.0,3.0,1.0,5.0,0.4,0.5,2.0,5.0,4.0,4.0,6.0,1.0,7.0,0.4,0.4,1.5,0.05,0.1,0.05,0.1,3.33,2.0,12,0.438569058,0.649153352,6.0
1.0,3.0,2.0,2.5,0.2,1.0,2.0,20.0,8.0,1.0,6.0,2.0,1.75,0.2,0.4,2.0,0.1,0.05,0.05,0.1,3.33,2.0,8,3.042345439,2.4624974115000002,8.1
1.0,3.0,2.0,2.5,0.2,2.0,2.0,20.0,8.0,1.0,3.0,2.0,1.75,0.4,0.4,2.0,0.05,0.05,0.05,0.05,6.7,2.0,2,2.622591607,2.842576072,6.0
1.0,3.0,2.0,5.0,0.1,1.0,2.0,5.0,2.0,1.0,3.0,2.0,1.75,0.1,0.2,2.0,0.2,0.2,0.05,0.05,3.33,2.0,14,1.802219116,0.947006851,8.1
1.0,3.0,2.0,5.0,0.2,0.5,2.0,10.0,8.0,4.0,3.0,2.0,1.75,0.1,0.1,4.0,0.2,0.2,0.05,0.1,6.7,2.0,29,1.1638,2.023087987,7.0
1.0,3.0,2.0,5.0,0.2,1.0,2.0,20.0,2.0,4.0,6.0,2.0,1.75,0.2,0.4,2.0,0.2,0.2,0.05,0.05,3.33,2.0,27,2.334026886,1.8248650605,8.1
1.0,3.0,2.0,5.0,0.2,1.0,2.0,20.0,8.0,4.0,3.0,1.0,1.75,0.1,0.4,1.5,0.05,0.1,0.05,0.2,6.7,2.0,23,1.8519,2.739605302,7.0
1.0,3.0,2.0,5.0,0.2,2.0,6.0,10.0,8.0,1.0,12.0,2.0,1.75,0.1,0.4,4.0,0.05,0.05,0.05,0.05,3.33,2.0,40,0.0027,0.001642336,7.0
1.0,3.0,2.0,5.0,0.4,1.0,2.0,10.0,8.0,4.0,3.0,4.0,3.5,0.1,0.4,2.0,0.1,0.2,0.05,0.05,3.33,2.0,37,0.186265968,0.243696377,8.2
