Destination Plate Type,Destination Plate Barcode,Sample name,Destination Well,Transfer Volume,Source Well,Source Plate Name,Source Plate Type
Greiner384_black_PS_Fbottom_781906,destination1,water well,B9,2125.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,C9,700.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,D9,1350.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,E9,1725.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,F9,2425.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,G9,500.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,H9,700.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,I9,525.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,J9,650.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,K9,2875.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,L9,1875.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,M9,700.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,N9,550.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,O9,1875.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,P9,1100.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,A10,650.0,G5,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,B10,350.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,C10,600.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,D10,450.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,E10,1400.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,F10,3200.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,G10,150.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,H10,450.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,I10,625.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,J10,1575.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,K10,850.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,L10,475.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,M10,825.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,N10,425.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,O10,125.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,P10,1375.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,A11,600.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,B11,2375.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,C11,2900.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,D11,1100.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,E11,375.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,F11,1650.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,G11,2425.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,H11,400.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,I11,1575.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,J11,3475.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,K11,925.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,L11,2275.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,M11,1700.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,N11,450.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,O11,2325.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,P11,625.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,A12,1400.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,B12,250.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,C12,575.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,D12,1200.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,E12,775.0,G6,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,F12,1975.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,G12,425.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,A1,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,B1,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,C1,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,D1,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,E1,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,F1,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,G1,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,H1,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,I1,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,J1,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,K1,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,L1,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,M1,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,N1,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,O1,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,P1,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,A2,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,B2,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,C2,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,D2,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,E2,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,F2,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,G2,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,H2,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,I2,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,J2,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,K2,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,L2,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,M2,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,N2,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,O2,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,P2,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,A3,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,B3,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,C3,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,D3,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,E3,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,F3,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,G3,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,H3,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,I3,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,J3,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,K3,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,L3,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,M3,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,N3,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,O3,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,P3,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,A4,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,B4,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,C4,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,D4,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,E4,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,F4,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,G4,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,A9,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,B9,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,C9,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,D9,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,E9,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,F9,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,G9,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,H9,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,I9,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,J9,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,K9,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,L9,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,M9,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,N9,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,O9,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,P9,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,A10,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,B10,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,C10,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,D10,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,E10,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,F10,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,G10,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,H10,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,I10,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,J10,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,K10,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,L10,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,M10,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,N10,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,O10,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,P10,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,A11,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,B11,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,C11,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,D11,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,E11,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,F11,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,G11,175.0,A1,source1,384PP_Plus_AQ_BP
