hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNAs,aaRSs-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,Condition,yield,Day
0.5,1.5,1.0,2.5,0.1,2.0,4.0,5.0,8.0,1.0,1.5,1.0,7.0,0.4,0.4,2.0,0.2,0.1,0.05,0.1,20.1,0.1,45,1.594879956,7
0.5,1.5,1.0,2.5,0.2,1.0,4.0,2.5,8.0,1.0,3.0,2.0,7.0,0.2,0.8,4.0,0.2,0.05,0.05,0.1,13.32,0.1,57,1.923177991,6
0.5,1.5,1.0,2.5,0.2,1.0,4.0,5.0,4.0,2.0,1.5,1.0,7.0,0.2,0.4,4.0,0.1,0.1,0.1,0.1,20.1,0.1,61,1.355451671,8
0.5,1.5,1.0,2.5,0.2,1.0,4.0,10.0,4.0,2.0,1.5,2.0,7.0,0.2,0.4,1.0,0.05,0.05,0.2,0.2,13.32,0.1,50,2.237487588,7
0.5,1.5,1.0,2.5,0.2,2.0,4.0,5.0,2.0,1.0,6.0,1.0,7.0,0.2,0.8,4.0,0.1,0.05,0.1,0.05,13.32,0.1,36,1.859021044,7
0.5,3.0,0.5,2.5,0.05,1.0,4.0,5.0,4.0,2.0,6.0,2.0,7.0,0.2,0.8,4.0,0.05,0.1,0.05,0.1,13.32,0.1,57,0.41068099,7
0.5,3.0,0.5,2.5,0.05,2.0,4.0,5.0,2.0,1.0,1.5,1.0,7.0,0.2,0.8,4.0,0.05,0.2,0.05,0.2,13.32,0.1,56,1.840317149,7
0.5,3.0,0.5,2.5,0.1,0.5,4.0,5.0,4.0,2.0,3.0,1.0,7.0,0.4,0.4,2.0,0.2,0.05,0.2,0.1,13.32,0.1,55,1.608957794,8
0.5,3.0,0.5,2.5,0.1,1.0,4.0,5.0,2.0,1.0,1.5,2.0,7.0,0.2,0.8,4.0,0.05,0.05,0.05,0.2,13.32,0.1,63,2.02426399,8
0.5,3.0,0.5,2.5,0.1,1.0,4.0,5.0,2.0,2.0,3.0,1.0,7.0,0.2,0.4,2.0,0.1,0.1,0.05,0.1,20.1,0.1,63,2.2523428005,6
0.5,3.0,0.5,2.5,0.1,1.0,4.0,10.0,2.0,1.0,1.5,1.0,7.0,0.2,0.4,4.0,0.2,0.05,0.1,0.1,13.32,0.1,35,1.873603066,8
0.5,3.0,0.5,2.5,0.1,1.0,4.0,10.0,2.0,1.0,1.5,1.0,7.0,0.2,0.8,1.0,0.05,0.1,0.2,0.1,20.1,0.1,53,2.639982698,8
0.5,3.0,0.5,2.5,0.1,1.0,4.0,10.0,8.0,1.0,3.0,1.0,7.0,0.2,0.4,4.0,0.05,0.1,0.2,0.05,13.32,0.1,46,1.267972013,8
0.5,3.0,0.5,2.5,0.1,2.0,4.0,2.5,2.0,1.0,6.0,4.0,7.0,0.2,0.8,2.0,0.1,0.1,0.1,0.05,13.32,0.1,58,0.051971639,6
0.5,3.0,0.5,2.5,0.1,2.0,4.0,5.0,8.0,1.0,3.0,2.0,7.0,0.2,0.4,2.0,0.05,0.1,0.05,0.1,20.1,0.1,46,2.194917062,7
0.5,3.0,0.5,2.5,0.1,2.0,4.0,10.0,8.0,2.0,3.0,1.0,7.0,0.1,0.8,2.0,0.2,0.05,0.1,0.05,13.32,0.1,42,1.521171819,8
0.5,3.0,0.5,2.5,0.2,0.5,4.0,5.0,2.0,2.0,3.0,1.0,7.0,0.2,0.8,4.0,0.1,0.05,0.05,0.2,20.1,0.1,60,2.083800222,8
0.5,3.0,0.5,2.5,0.2,1.0,4.0,5.0,4.0,1.0,3.0,2.0,14.0,0.2,0.4,4.0,0.2,0.1,0.05,0.1,13.32,0.1,43,1.902540372,6
