Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNA,aaRS-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
35,0.5,3,1,1.25,0.1,1,4,5,2,2,12,2,7,0.2,0.4,2,0.2,0.2,0.05,0.05,13.32,0.1,0.381924538
36,0.5,3,1,2.5,0.1,1,4,5,8,2,6,1,7,0.4,0.4,2,0.2,0.1,0.1,0.05,13.32,0.1,2.324715859
37,0.5,3,1,2.5,0.2,1,4,10,2,4,6,1,7,0.2,0.4,2,0.2,0.1,0.05,0.1,13.32,0.1,2.832716966
38,0.5,3,1,1.25,0.1,0.5,4,10,4,2,3,1,3.5,0.1,0.4,2,0.2,0.1,0.1,0.05,13.32,0.1,2.367083222
39,1,3,1,2.5,0.1,2,2,10,4,1,6,1,7,0.2,0.4,4,0.1,0.1,0.1,0.05,13.32,0.1,1.525307606
40,0.5,3,1,2.5,0.2,0.5,4,5,4,1,3,4,7,0.2,0.4,4,0.05,0.05,0.1,0.2,13.32,0.1,1.585231185
41,0.5,3,1,2.5,0.1,0.5,6,10,2,2,6,2,7,0.1,0.4,4,0.2,0.05,0.05,0.05,13.32,0.1,0.782959534
42,0.5,3,2,2.5,0.2,2,2,10,2,2,6,2,7,0.2,0.4,1,0.2,0.1,0.2,0.05,13.32,0.1,0.180369061
43,0.5,3,1,1.25,0.1,2,2,5,8,1,6,2,7,0.2,0.2,2,0.2,0.2,0.05,0.1,13.32,0.1,1.181339498
44,0.5,6,1,1.25,0.1,0.5,2,5,4,1,6,2,7,0.1,0.4,4,0.05,0.1,0.2,0.1,13.32,0.1,1.325165084
45,1,3,2,2.5,0.1,1,2,5,2,2,6,2,7,0.2,0.4,4,0.2,0.1,0.05,0.1,13.32,0.1,0.491680485
46,0.5,3,1,1.25,0.1,2,4,5,2,4,3,2,7,0.4,0.4,4,0.1,0.05,0.1,0.2,13.32,0.1,2.133926552
47,2,3,1,2.5,0.2,2,2,5,2,2,6,4,7,0.1,0.4,2,0.2,0.2,0.05,0.05,13.32,0.1,1.438387384
48,0.5,3,1,1.25,0.4,0.5,4,5,2,2,6,2,3.5,0.2,0.4,4,0.2,0.1,0.2,0.2,13.32,0.1,1.423514286
49,0.5,3,1,2.5,0.1,1,4,5,2,4,6,4,7,0.2,0.4,1,0.2,0.05,0.1,0.2,13.32,0.1,1.790906842
50,1,6,1,1.25,0.2,2,2,10,2,1,3,1,7,0.4,0.4,2,0.2,0.1,0.1,0.05,13.32,0.1,0.64386153
51,0.5,6,1,1.25,0.4,0.5,2,5,4,4,3,1,7,0.1,0.4,4,0.2,0.1,0.1,0.1,13.32,0.1,0.226618233
52,0.5,3,1,5,0.2,2,2,5,8,2,3,4,7,0.2,0.4,4,0.05,0.1,0.05,0.05,13.32,0.1,1.176433896
53,0.5,6,2,5,0.2,1,2,5,4,2,6,2,7,0.2,0.4,2,0.2,0.05,0.05,0.1,13.32,0.1,0.506898026
54,0.5,3,1,1.25,0.1,0.5,4,20,4,1,3,1,7,0.2,0.1,2,0.1,0.2,0.1,0.1,13.32,0.1,1.423986542
55,0.5,3,2,2.5,0.1,1,4,10,4,1,3,1,7,0.2,0.4,4,0.2,0.1,0.05,0.2,13.32,0.1,1.681490583
56,0.5,6,1,2.5,0.4,1,4,5,4,1,3,1,7,0.2,0.4,1,0.2,0.05,0.1,0.2,13.32,0.1,1.903709421
57,0.5,3,1,5,0.2,1,4,5,4,1,3,1,7,0.2,0.4,2,0.05,0.05,0.2,0.05,13.32,0.1,2.66931566
58,1,6,1,1.25,0.1,1,4,5,2,2,6,1,3.5,0.2,0.4,4,0.2,0.05,0.2,0.05,13.32,0.1,1.050288985
59,0.5,3,2,2.5,0.2,2,6,5,2,2,6,1,7,0.2,0.4,4,0.2,0.05,0.05,0.1,13.32,0.1,2.395396571
60,0.5,3,1,1.25,0.1,0.5,2,20,4,1,6,4,3.5,0.1,0.4,2,0.2,0.05,0.1,0.05,13.32,0.1,1.246575014
61,1,3,1,1.25,0.1,2,4,5,4,1,6,2,3.5,0.1,0.4,2,0.1,0.2,0.05,0.05,13.32,0.1,1.310624155
62,2,3,1,1.25,0.1,0.5,2,5,4,1,3,4,7,0.4,0.4,2,0.2,0.2,0.1,0.1,13.32,0.1,1.33966953
63,2,3,1,1.25,0.2,2,4,5,2,1,3,2,7,0.2,0.4,1,0.1,0.05,0.2,0.1,13.32,0.1,2.982378993
64,0.5,6,1,1.25,0.2,1,4,5,2,4,3,2,7,0.4,0.4,4,0.05,0.05,0.1,0.05,13.32,0.1,1.363694894
REF,1,6,2,2.5,0.2,1,4,10,4,2,6,2,3.5,0.2,0.2,2,0.1,0.1,0.1,0.1,6.7,0.1,1
TOP2,1,3,2,2.5,0.1,0.5,4,10,2,2,6,1,7,0.4,0.4,4,0.1,0.2,0.05,0.05,13.32,0.1,1.460987545
TOP3,0.5,3,1,2.5,0.1,1,4,10,4,1,3,2,7,0.2,0.4,4,0.2,0.2,0.05,0.05,13.32,0.1,2.95074741
TOP4,0.5,3,1,2.5,0.1,1,4,10,2,2,3,2,7,0.2,0.4,1,0.1,0.1,0.1,0.1,13.32,0.1,2.27217191
