Day,Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNA,aaRS-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
3,13,2,6,1,2.5,0.4,1,2,10,8,1,3,1,7,0.1,0.2,1,0.2,0.05,0.1,0.2,6.7,0.1,0.405437886
7,13,4,3,1,1.25,0.05,2,4,10,8,1,3,2,7,0.1,0.4,1,0.05,0.1,0.05,0.4,6.7,0.1,0.386844683
1,14,0.5,6,1,2.5,0.1,2,2,5,8,1,3,1,1.75,0.4,0.1,2,0.1,0.2,0.05,0.05,13.32,0.1,0.383177983
1,5,0.5,6,2,5,0.1,2,2,5,8,2,3,1,7,0.4,0.4,1,0.1,0.1,0.05,0.05,6.7,0.1,0.375173968
4,22,1,3,2,2.5,0.1,0.5,2,10,8,1,6,1,3.5,0.1,0.4,1,0.05,0.05,0.1,0.2,13.32,0.1,0.373814076
5,17,2,3,1,1.25,0.1,1,6,5,8,4,6,1,7,0.2,0.1,1,0.05,0.1,0.2,0.05,6.7,0.1,0.373424967
1,30,1,6,2,2.5,0.1,2,2,5,4,4,3,1,3.5,0.4,0.2,1,0.1,0.2,0.05,0.1,6.7,0.1,0.366579036
1,25,0.5,6,1,2.5,0.4,2,4,20,8,1,6,1,3.5,0.1,0.1,2,0.1,0.1,0.05,0.05,3.33,0.1,0.340562111
3,19,2,3,4,1.25,0.4,0.5,6,10,8,1,3,1,7,0.4,0.4,4,0.1,0.1,0.05,0.05,3.33,0.1,0.337472218
5,1,2,3,1,5,0.1,0.5,6,10,8,1,6,1,7,0.1,0.4,1,0.2,0.05,0.05,0.2,6.7,0.1,0.33505828
3,28,2,6,2,2.5,0.1,2,2,10,8,1,3,1,7,0.4,0.2,1,0.2,0.05,0.1,0.2,3.33,0.1,0.333573398
4,6,2,6,1,2.5,0.1,2,6,10,8,1,3,2,1.75,0.2,0.4,1,0.1,0.05,0.2,0.2,6.7,0.1,0.332244738
2,31,2,6,1,1.25,0.1,2,6,5,4,2,3,4,3.5,0.1,0.4,2,0.05,0.05,0.2,0.2,6.7,0.1,0.327227994
1,18,0.5,6,1,1.25,0.2,2,4,5,8,4,6,1,7,0.4,0.1,1,0.1,0.05,0.05,0.1,3.33,0.1,0.327136227
2,30,2,3,1,2.5,0.1,2,4,5,2,1,3,1,1.75,0.1,0.4,4,0.05,0.05,0.1,0.2,6.7,0.1,0.326653134
2,2,2,3,1,5,0.2,1,4,5,2,4,6,1,3.5,0.1,0.4,1,0.05,0.1,0.2,0.2,13.32,0.1,0.30650009
1,15,1,6,1,5,0.1,2,2,10,8,1,3,4,3.5,0.4,0.2,1,0.05,0.2,0.05,0.1,3.33,0.1,0.302802682
4,1,2,3,2,1.25,0.1,0.5,6,10,8,1,6,4,7,0.2,0.4,2,0.1,0.05,0.05,0.2,3.33,0.1,0.302574478
6,25,2,1.5,2,2.5,0.2,1,8,5,8,0.5,1.5,1,7,0.2,0.4,2,0.025,0.025,0.05,0.4,13.32,0.1,0.302048421
4,3,0.5,6,1,5,0.1,1,6,10,8,4,3,2,7,0.1,0.4,2,0.05,0.05,0.1,0.2,3.33,0.1,0.298612451
4,25,0.5,6,1,1.25,0.1,1,4,5,8,1,3,4,3.5,0.1,0.4,4,0.05,0.1,0.2,0.2,3.33,0.1,0.296885311
2,32,2,3,2,5,0.2,0.5,2,5,8,4,6,4,1.75,0.2,0.4,1,0.05,0.05,0.05,0.1,6.7,0.1,0.29190196
3,29,2,6,2,2.5,0.1,0.5,4,10,2,1,3,1,7,0.4,0.1,1,0.05,0.2,0.2,0.2,3.33,0.1,0.28521888
6,20,1,3,1,1.25,0.1,0.5,8,5,4,0.5,1.5,1,7,0.2,0.4,0.5,0.05,0.025,0.1,0.2,6.7,0.1,0.263435072
5,28,2,3,1,1.25,0.1,1,4,10,8,1,6,2,1.75,0.1,0.4,1,0.2,0.2,0.05,0.2,6.7,0.1,0.251561201
4,17,2,3,1,1.25,0.2,1,6,10,8,1,6,1,1.75,0.4,0.4,1,0.05,0.05,0.05,0.2,6.7,0.1,0.243785038
7,17,2,3,0.5,5,0.1,0.5,4,10,4,0.5,3,1,7,0.2,0.4,1,0.1,0.1,0.05,0.4,6.7,0.1,0.239878306
2,41,2,6,1,5,0.1,0.5,4,10,4,2,6,2,1.75,0.1,0.4,4,0.1,0.1,0.1,0.1,6.7,0.1,0.234542907
6,5,2,3,1,5,0.05,1,8,5,8,0.5,1.5,1,7,0.1,0.4,0.5,0.025,0.1,0.1,0.1,6.7,0.1,0.232696614
2,13,2,6,1,5,0.2,2,2,5,8,1,6,1,1.75,0.2,0.4,2,0.1,0.05,0.1,0.1,6.7,0.1,0.217583481
1,11,0.5,6,1,2.5,0.4,2,2,5,8,2,3,4,7,0.2,0.1,1,0.1,0.05,0.05,0.2,13.32,0.1,0.212492859
2,3,2,3,2,5,0.1,0.5,4,5,4,1,6,2,3.5,0.2,0.4,4,0.05,0.05,0.1,0.2,6.7,0.1,0.212096675
3,11,2,3,4,1.25,0.1,2,6,5,8,1,3,4,7,0.4,0.4,1,0.05,0.05,0.1,0.1,3.33,0.1,0.200765715
4,9,2,6,2,5,0.2,1,2,5,8,2,3,2,7,0.2,0.4,1,0.05,0.1,0.2,0.2,6.7,0.1,0.181566017
2,9,2,6,1,1.25,0.2,0.5,4,10,2,4,6,4,1.75,0.1,0.4,2,0.05,0.1,0.1,0.2,6.7,0.1,0.174470113
1,6,0.5,12,1,2.5,0.2,2,4,20,8,1,3,1,1.75,0.1,0.2,1,0.1,0.05,0.05,0.2,3.33,0.1,0.170410726
7,30,4,3,1,5,0.1,1,2,10,4,0.5,1.5,2,3.5,0.2,0.4,0.5,0.025,0.1,0.2,0.2,20.1,0.1,0.161443314
2,22,2,6,1,5,0.1,0.5,4,5,4,4,3,2,7,0.2,0.4,4,0.05,0.05,0.05,0.2,6.7,0.1,0.159073457
3,16,2,12,2,5,0.2,1,2,10,2,1,3,1,7,0.1,0.1,2,0.2,0.05,0.2,0.2,3.33,0.1,0.15435478
4,23,1,3,1,5,0.1,1,6,10,8,2,3,4,3.5,0.4,0.4,2,0.1,0.05,0.05,0.2,6.7,0.1,0.138904501
8,5,1,6,2,5,0.2,2,2,10,4,1,1.5,2,7,0.2,0.4,1,0.025,0.1,0.05,0.2,6.7,0.1,0.136323208
1,7,0.5,12,1,1.25,0.2,2,4,10,8,2,3,1,3.5,0.1,0.2,1,0.1,0.1,0.05,0.1,13.32,0.1,0.124916902
5,12,1,6,1,5,0.1,0.5,6,5,8,1,6,2,3.5,0.2,0.4,1,0.1,0.1,0.1,0.05,6.7,0.1,0.123619246
7,10,2,3,0.5,5,0.1,0.5,2,5,16,1,3,4,7,0.2,0.8,1,0.05,0.1,0.05,0.1,6.7,0.1,0.122304081
4,18,2,3,1,1.25,0.1,2,6,5,8,1,3,2,1.75,0.1,0.4,1,0.2,0.1,0.05,0.2,3.33,0.1,0.121640419
1,23,0.5,12,1,5,0.4,2,4,5,8,1,6,1,3.5,0.1,0.1,2,0.05,0.1,0.05,0.1,6.7,0.1,0.118284812
4,14,2,6,1,2.5,0.1,1,6,5,8,4,6,1,3.5,0.1,0.4,4,0.05,0.1,0.05,0.2,3.33,0.1,0.108998317
3,25,2,12,1,5,0.1,0.5,2,5,8,1,3,1,7,0.1,0.1,2,0.1,0.05,0.05,0.2,13.32,0.1,0.1035613
8,24,2,3,2,5,0.2,0.5,4,5,8,0.5,1.5,1,1.75,0.2,0.4,2,0.05,0.025,0.2,0.1,20.1,0.1,0.09297324
4,2,0.5,3,1,1.25,0.1,0.5,6,10,8,2,6,1,7,0.4,0.4,1,0.05,0.1,0.2,0.2,3.33,0.1,0.087509499
2,25,2,3,2,5,0.1,2,2,5,4,2,6,2,3.5,0.1,0.4,4,0.05,0.05,0.2,0.05,13.32,0.1,0.085655695
1,8,0.5,12,2,2.5,0.1,2,4,5,8,2,3,1,1.75,0.1,0.2,2,0.05,0.1,0.05,0.1,13.32,0.1,0.084561422
3,22,0.5,6,4,5,0.4,0.5,4,5,8,1,3,2,7,0.1,0.4,4,0.05,0.05,0.2,0.2,3.33,0.1,0.075708019
3,12,2,3,4,2.5,0.1,1,4,5,8,1,3,1,3.5,0.1,0.4,2,0.05,0.05,0.2,0.2,3.33,0.1,0.066368094
6,15,1,3,0.5,5,0.05,1,8,5,8,0.5,1.5,4,7,0.2,0.8,0.5,0.025,0.025,0.2,0.1,13.32,0.1,0.065206813
2,18,1,6,1,5,0.1,0.5,2,20,2,1,6,2,1.75,0.1,0.4,1,0.05,0.05,0.2,0.2,6.7,0.1,0.064690853
3,9,2,3,4,1.25,0.4,0.5,4,5,8,1,3,1,3.5,0.1,0.4,2,0.1,0.1,0.2,0.2,13.32,0.1,0.057147853
3,7,2,3,4,1.25,0.1,0.5,2,10,8,2,3,4,7,0.1,0.4,1,0.05,0.1,0.05,0.2,13.32,0.1,0.0559144
3,23,2,3,4,5,0.2,0.5,2,10,2,1,3,4,7,0.1,0.2,1,0.05,0.05,0.2,0.2,3.33,0.1,0.054566918
3,21,2,6,4,5,0.2,0.5,2,5,8,1,3,2,7,0.4,0.2,2,0.05,0.1,0.05,0.1,6.7,0.1,0.053982108
3,10,2,3,4,5,0.4,1,2,5,8,1,3,4,7,0.1,0.1,1,0.05,0.1,0.05,0.1,3.33,0.1,0.050014009
2,27,0.5,3,4,5,0.1,1,4,10,2,1,6,1,1.75,0.1,0.4,4,0.05,0.05,0.2,0.2,13.32,0.1,0.048401771
3,20,2,12,4,1.25,0.1,0.5,2,10,8,1,3,2,3.5,0.1,0.4,1,0.05,0.05,0.05,0.2,6.7,0.1,0.048236233
2,12,2,3,4,5,0.1,0.5,4,10,2,1,6,1,1.75,0.1,0.4,4,0.05,0.05,0.05,0.1,13.32,0.1,0.040337771
2,4,2,6,4,5,0.2,0.5,2,5,4,1,6,2,3.5,0.2,0.4,2,0.05,0.1,0.2,0.2,6.7,0.1,0.0399964
6,24,2,1.5,0.5,1.25,0.1,1,8,5,4,2,1.5,1,7,0.2,0.4,0.5,0.05,0.05,0.2,0.1,6.7,0.1,0.038455458
2,28,2,3,1,5,0.1,0.5,4,10,8,2,12,1,7,0.2,0.4,2,0.05,0.05,0.1,0.05,6.7,0.1,0.032314128
8,12,2,3,2,1.25,0.2,0.5,2,5,8,1,1.5,1,7,0.2,0.4,2,0.05,0.1,0.2,0.2,6.7,0.1,0.032295136
2,11,2,6,1,5,0.2,1,6,5,4,2,12,1,1.75,0.2,0.4,1,0.05,0.05,0.1,0.05,13.32,0.1,0.029317476
2,24,2,3,1,1.25,0.1,2,6,10,4,1,12,2,1.75,0.1,0.4,1,0.05,0.1,0.05,0.2,3.33,0.1,0.029126115
2,8,2,6,1,5,0.1,1,6,5,8,1,12,2,3.5,0.1,0.4,2,0.05,0.05,0.2,0.05,6.7,0.1,0.027723228
4,10,0.5,3,2,2.5,0.1,1,2,5,8,1,3,1,7,0.4,0.4,2,0.05,0.1,0.05,0.2,13.32,0.1,0.027614694
2,29,0.5,6,1,5,0.2,2,4,10,2,1,12,2,1.75,0.1,0.4,4,0.05,0.05,0.05,0.1,6.7,0.1,0.026152528
2,17,1,3,1,5,0.1,0.5,2,20,4,1,12,1,1.75,0.1,0.4,4,0.05,0.05,0.05,0.2,6.7,0.1,0.02599434
2,20,2,6,1,2.5,0.2,2,6,10,2,2,12,2,1.75,0.1,0.4,1,0.05,0.1,0.1,0.05,6.7,0.1,0.025808865
2,37,0.5,3,4,5,0.2,2,2,10,2,2,6,1,1.75,0.1,0.4,1,0.05,0.05,0.2,0.2,6.7,0.1,0.025693951
6,19,1,1.5,1,5,0.05,2,8,5,8,1,6,1,7,0.2,0.8,0.5,0.025,0.05,0.2,0.2,6.7,0.1,0.02384791
6,23,4,1.5,0.5,2.5,0.05,1,8,10,8,1,3,1,7,0.2,0.8,1,0.05,0.05,0.1,0.2,6.7,0.1,0.023200472
6,6,1,1.5,0.5,5,0.05,1,8,5,4,1,1.5,1,3.5,0.2,0.4,0.5,0.025,0.025,0.2,0.1,6.7,0.1,0.019515543
9,1,2,3,2,5,0.1,0.5,6,5,8,1,3,1,7,0.2,0.4,1,0.05,0.05,0.2,0.2,6.7,0.1,3.364982691
9,3,2,6,1,2.5,0.1,2,4,10,8,1,3,2,3.5,0.1,0.4,1,0.05,0.1,0.05,0.2,13.32,0.1,1.996556204
9,4,2,6,1,5,0.1,2,2,20,4,1,3,2,7,0.1,0.4,2,0.05,0.05,0.05,0.2,3.33,0.1,0.327563829
9,5,0.5,3,2,1.25,0.2,0.5,6,5,8,2,3,1,3.5,0.2,0.4,1,0.05,0.1,0.05,0.2,6.7,0.1,2.76575576
9,6,2,3,1,1.25,0.1,1,4,5,8,2,3,1,7,0.1,0.4,1,0.05,0.2,0.2,0.2,6.7,0.1,1.390540323
9,7,2,3,1,1.25,0.1,1,2,5,8,4,3,4,7,0.2,0.4,2,0.05,0.05,0.05,0.2,6.7,0.1,0.837051186
9,8,0.5,3,1,5,0.2,1,6,10,8,4,3,1,7,0.1,0.4,1,0.05,0.1,0.1,0.1,6.7,0.1,0.264810489
9,9,2,3,1,2.5,0.1,1,4,10,8,4,3,1,3.5,0.2,0.4,2,0.05,0.1,0.05,0.2,13.32,0.1,3.295114384
9,10,2,3,1,1.25,0.2,1,6,10,8,1,3,2,3.5,0.1,0.4,2,0.2,0.1,0.2,0.2,6.7,0.1,0.307046973
9,11,0.5,3,2,5,0.2,1,4,5,8,1,6,1,1.75,0.2,0.4,1,0.1,0.05,0.1,0.2,6.7,0.1,1.820370732
9,12,2,3,1,2.5,0.1,0.5,6,5,4,4,3,1,7,0.2,0.4,1,0.05,0.05,0.05,0.1,13.32,0.1,2.182776595
9,13,2,3,1,2.5,0.1,1,6,5,8,2,3,1,3.5,0.1,0.4,2,0.2,0.2,0.1,0.1,13.32,0.1,1.839940648
