Day,Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNA,aaRS-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
6,7,4,3,1,2.5,0.1,1,4,5,8,2,3,1,7,0.2,0.8,0.5,0.025,0.1,0.05,0.4,6.7,0.1,1.690416652
8,16,2,6,1,2.5,0.2,1,4,10,8,0.5,1.5,1,3.5,0.1,0.4,0.5,0.025,0.1,0.2,0.1,6.7,0.1,1.66952926
7,9,2,3,1,5,0.1,0.5,4,10,8,1,3,1,3.5,0.1,0.8,0.5,0.025,0.1,0.05,0.1,20.1,0.1,1.63809747
8,13,4,3,1,2.5,0.1,1,4,5,4,0.5,3,1,7,0.2,0.8,2,0.05,0.05,0.1,0.4,13.32,0.1,1.635397993
6,18,2,1.5,1,5,0.1,2,4,5,4,0.5,3,1,7,0.2,0.8,1,0.025,0.1,0.05,0.4,6.7,0.1,1.626290448
1,27,0.5,6,1,5,0.2,2,2,5,8,4,6,1,1.75,0.1,0.4,1,0.1,0.1,0.05,0.05,13.32,0.1,1.626161437
6,14,4,1.5,1,1.25,0.05,1,4,10,8,1,1.5,1,7,0.2,0.4,2,0.05,0.1,0.1,0.4,6.7,0.1,1.622979249
8,27,2,3,1,2.5,0.2,1,4,5,8,0.5,3,1,1.75,0.1,0.4,1,0.05,0.1,0.05,0.2,13.32,0.1,1.621373433
8,15,1,6,2,5,0.1,0.5,4,5,4,1,3,1,7,0.2,0.8,0.5,0.05,0.05,0.2,0.1,6.7,0.1,1.621211785
2,21,2,3,1,1.25,0.2,0.5,2,5,8,4,6,2,1.75,0.1,0.4,2,0.05,0.1,0.1,0.1,6.7,0.1,1.589912471
7,22,2,3,1,1.25,0.1,2,4,10,4,1,3,1,3.5,0.2,0.8,0.5,0.1,0.1,0.1,0.1,13.32,0.1,1.586501798
